user,cs_uri_stem,date,time
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:14
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:56:14
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:14
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:14
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:14
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:14
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:14
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:14
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:14
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:14
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:14
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:14
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:14
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:56:15
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:15
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:15
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:56:15
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7567/10545,2016-02-01,00:56:15
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7566/10545,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7568/10545,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7566/10546,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7567/10546,2016-02-01,00:56:15
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7568/10546,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7566/10547,2016-02-01,00:56:15
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7567/10547,2016-02-01,00:56:15
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7568/10547,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7566/10548,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7568/10548,2016-02-01,00:56:15
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7567/10548,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7566/10549,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7568/10549,2016-02-01,00:56:15
Ryu,/Sf7/common_cache/FightServer/tile/7/7566/10545,2016-02-01,00:56:15
Ryu,/Sf7/basesf/FightServer/tile/7/7567/10549,2016-02-01,00:56:15
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:56:15
Ryu,/Sf7/gyotai/FightServer/tile/2/7567/10545,2016-02-01,00:56:15
Ryu,/Sf7/common_cache/FightServer/tile/7/7568/10545,2016-02-01,00:56:15
Ryu,/Sf7/common_cache/FightServer/tile/7/7567/10545,2016-02-01,00:56:15
Ryu,/Sf7/gyotai/FightServer/tile/2/7568/10545,2016-02-01,00:56:15
Ryu,/Sf7/gyotai/FightServer/tile/2/7566/10545,2016-02-01,00:56:15
Ryu,/Sf7/gyotai/FightServer/tile/2/7566/10546,2016-02-01,00:56:15
Ryu,/Sf7/gyotai/FightServer/tile/2/7567/10546,2016-02-01,00:56:15
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:56:15
Ryu,/Sf7/gyotai/FightServer/tile/2/7568/10547,2016-02-01,00:56:15
Ryu,/Sf7/gyotai/FightServer/tile/2/7568/10546,2016-02-01,00:56:15
Ryu,/Sf7/gyotai/FightServer/tile/2/7568/10548,2016-02-01,00:56:15
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:56:15
Ryu,/Sf7/gyotai/FightServer/tile/2/7568/10549,2016-02-01,00:56:15
Ryu,/Sf7/common_cache/FightServer/tile/7/7566/10546,2016-02-01,00:56:15
Ryu,/Sf7/common_cache/FightServer/tile/7/7567/10546,2016-02-01,00:56:15
Ryu,/Sf7/common_cache/FightServer/tile/7/7568/10546,2016-02-01,00:56:15
Ryu,/Sf7/common_cache/FightServer/tile/7/7566/10547,2016-02-01,00:56:15
Ryu,/Sf7/common_cache/FightServer/tile/7/7567/10547,2016-02-01,00:56:15
Ryu,/Sf7/common_cache/FightServer/tile/7/7568/10547,2016-02-01,00:56:15
Ryu,/Sf7/common_cache/FightServer/tile/7/7566/10548,2016-02-01,00:56:15
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:56:16
Ryu,/Sf7/common_cache/FightServer/tile/7/7567/10548,2016-02-01,00:56:15
Ryu,/Sf7/common_cache/FightServer/tile/7/7568/10548,2016-02-01,00:56:16
Ryu,/Sf7/common_cache/FightServer/tile/7/7566/10549,2016-02-01,00:56:16
Ryu,/Sf7/common_cache/FightServer/tile/7/7567/10549,2016-02-01,00:56:16
Ryu,/Sf7/common_cache/FightServer/tile/7/7568/10549,2016-02-01,00:56:16
Ryu,/Sf7/gyotai/FightServer/tile/2/7566/10547,2016-02-01,00:56:16
Ryu,/Sf7/gyotai/FightServer/tile/2/7567/10547,2016-02-01,00:56:16
Ryu,/Sf7/gyotai/FightServer/tile/2/7566/10548,2016-02-01,00:56:16
Ryu,/Sf7/gyotai/FightServer/tile/2/7566/10549,2016-02-01,00:56:16
Ryu,/Sf7/gyotai/FightServer/tile/2/7567/10549,2016-02-01,00:56:16
Ryu,/Sf7/gyotai/FightServer/tile/2/7567/10548,2016-02-01,00:56:16
